description,category
Road repair work incomplete for several weeks.,Road Department
"sewerage water mixing with rainwater, causing pollution.",Sewerage Department
"water pressure too low, unable to fill tank.",Water Supply Department
Wires hanging dangerously near the electric pole. please resolve this issue soon.,Electric Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
"Drinking water contaminated, smells bad.",Water Supply Department
"House foundation damaged, wall tilting slightly.",Building Department
New house construction encroaching on public property.,Building Department
No water in tank even after scheduled supply time.,Water Supply Department
Holes on road making it dangerous for vehicles. please resolve this issue soon.,Road Department
"Road full of potholes, needs immediate repair.",Road Department
low water pressure in our area since yesterday.,Water Supply Department
Street lights are not working in our colony.,Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
Potholes filled with water causing vehicle skidding.,Road Department
building structure showing deep cracks after heavy rain.,Building Department
low water pressure in our area since yesterday.,Water Supply Department
Road repair work incomplete for several weeks.,Road Department
Building structure showing deep cracks after heavy rain. please resolve this issue soon.,Building Department
drainage water stagnating and breeding mosquitoes.,Sanitation Department
Manhole overflowing with sewage water on street.,Sewerage Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Transformer burst causing short circuit and power failure.,Electric Department
"old flat wall plaster has fallen off, unsafe for residents.",Building Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
No water supply in the colony since morning.,Water Supply Department
Electric wires snapped and lying on the road.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Road full of potholes, needs immediate repair.",Road Department
The roof of the building is leaking during rainfall.,Building Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Road repair work incomplete for several weeks.,Road Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"Garbage not collected regularly, causing bad smell. please resolve this issue soon.",Sanitation Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Power supply interrupted due to damaged electric pole.,Electric Department
sewer pipeline damaged causing leakages.,Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Potholes  filled  with  water  causing  vehicle  skidding.,Road Department
"Underground  sewage  clogged,  foul  smell  spreading.",Sewerage Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Electric  wires  snapped  and  lying  on  the  road.,Electric Department
Potholes on main road causing accidents during rain.,Road Department
Sewer pipeline damaged causing leakages.,Sewerage Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
The ceiling in our apartment is about to collapse.,Building Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Potholes filled with water causing vehicle skidding.,Road Department
"No  electricity  since  last  night,  transformer  seems  burnt. please resolve this issue soon.",Electric Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
The garbage truck hasn’t come for three days.,Sanitation Department
Road damaged badly due to heavy traffic and rain.,Road Department
drainage line blocked with plastic and debris.,Sanitation Department
Manhole overflowing with sewage water on street.,Sewerage Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Building structure showing deep cracks after heavy rain.,Building Department
"Water pressure too low, unable to fill tank. please resolve this issue soon.",Water Supply Department
"Road full of potholes, needs immediate repair.",Road Department
Drainage line blocked with plastic and debris.,Sanitation Department
Tap water supply irregular since last week.,Water Supply Department
drainage line blocked with plastic and debris.,Sanitation Department
Uncollected garbage making the area unhygienic.,Sanitation Department
damaged footpath blocking safe walking area.,Road Department
Sewer  pipeline  damaged  causing  leakages.,Sewerage Department
"Water pressure too low, unable to fill tank.",Water Supply Department
No water supply in the colony since morning.,Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
Street lights are not working in our colony.,Electric Department
Tap water supply irregular since last week.,Water Supply Department
Transformer burst causing short circuit and power failure.,Electric Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Potholes  filled  with  water  causing  vehicle  skidding.,Road Department
Wires  hanging  dangerously  near  the  electric  pole.,Electric Department
"Drinking water contaminated, smells bad.",Water Supply Department
"Open manhole near park, dangerous for children.",Sewerage Department
The garbage truck hasn’t come for three days.,Sanitation Department
Sewer pipeline damaged causing leakages. please resolve this issue soon.,Sewerage Department
"open manhole near park, dangerous for children.",Sewerage Department
New house construction encroaching on public property.,Building Department
Foul smell coming from underground sewerage system.,Sewerage Department
Cracks have appeared on the wall of the community building.,Building Department
Drainage line blocked with plastic and debris.,Sanitation Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Damaged footpath blocking safe walking area.,Road Department
Building structure showing deep cracks after heavy rain.,Building Department
Uncollected garbage making the area unhygienic.,Sanitation Department
the garbage truck hasn’t come for three days.,Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Road damaged badly due to heavy traffic and rain.,Road Department
Wires hanging dangerously near the electric pole.,Electric Department
There is a power outage in our area since morning.,Electric Department
Electric wires snapped and lying on the road.,Electric Department
"Footpath broken near school, pedestrians facing difficulty. please resolve this issue soon.",Road Department
There is a power outage in our area since morning.,Electric Department
Road repair work incomplete for several weeks.,Road Department
Potholes on main road causing accidents during rain.,Road Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Manhole overflowing with sewage water on street.,Sewerage Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Foul smell coming from underground sewerage system. please resolve this issue soon.,Sewerage Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"drainage system clogged, water overflowing onto road.",Sanitation Department
Newly built road already showing cracks and uneven surface.,Road Department
"Water pressure too low, unable to fill tank.",Water Supply Department
The drainage is overflowing due to heavy rain. please resolve this issue soon.,Sanitation Department
"building wall broken after storm, debris blocking entrance. please resolve this issue soon.",Building Department
Cracks have appeared on the wall of the community building. please resolve this issue soon.,Building Department
The garbage truck hasn’t come for three days.,Sanitation Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
building under construction without safety barricades.,Building Department
Wires  hanging  dangerously  near  the  electric  pole. please resolve this issue soon.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Manhole overflowing with sewage water on street. please resolve this issue soon.,Sewerage Department
Low water pressure in our area since yesterday.,Water Supply Department
Uncollected  garbage  making  the  area  unhygienic.,Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Road condition is good after repair.,Road Department
"House foundation damaged, wall tilting slightly.",Building Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Transformer burst causing short circuit and power failure.,Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Road full of potholes, needs immediate repair.",Road Department
Building structure showing deep cracks after heavy rain.,Building Department
Building structure showing deep cracks after heavy rain.,Building Department
Water coming muddy and not suitable for drinking. please resolve this issue soon.,Water Supply Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
building under construction without safety barricades.,Building Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Manhole overflowing with sewage water on street.,Sewerage Department
Holes on road making it dangerous for vehicles.,Road Department
Building under construction without safety barricades.,Building Department
drainage water stagnating and breeding mosquitoes.,Sanitation Department
Tap water supply irregular since last week.,Water Supply Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Old flat wall plaster has fallen off, unsafe for residents. please resolve this issue soon.",Building Department
Sewer line overflowing and spreading dirty water. please resolve this issue soon.,Sewerage Department
"Overflowing  bins  near  market  area,  needs  cleaning.",Sanitation Department
Damaged  footpath  blocking  safe  walking  area.,Road Department
"Open manhole near park, dangerous for children.",Sewerage Department
Road repair work incomplete for several weeks.,Road Department
Current fluctuation damaging home appliances.,Electric Department
"plaster peeling from walls, building looks unsafe.",Building Department
No water supply in the colony since morning.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
cracks have appeared on the wall of the community building.,Building Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Foul smell coming from underground sewerage system.,Sewerage Department
"Road full of potholes, needs immediate repair. please resolve this issue soon.",Road Department
The road near the hospital has large potholes.,Road Department
Current fluctuation damaging home appliances.,Electric Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Drainage line blocked with plastic and debris.,Sanitation Department
The garbage truck hasn’t come for three days.,Sanitation Department
"Building structure fine, no cracks visible.",Building Department
Holes on road making it dangerous for vehicles.,Road Department
Low water pressure in our area since yesterday.,Water Supply Department
The ceiling in our apartment is about to collapse.,Building Department
"Footpath broken near school, pedestrians facing difficulty. please resolve this issue soon.",Road Department
Potholes filled with water causing vehicle skidding.,Road Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Electric wires snapped and lying on the road.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
waste dumped openly on roadside attracting animals.,Sanitation Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Road condition is good after repair.,Road Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Building wall broken after storm, debris blocking entrance. please resolve this issue soon.",Building Department
"House foundation damaged, wall tilting slightly.",Building Department
Current fluctuation damaging home appliances.,Electric Department
No water in tank even after scheduled supply time.,Water Supply Department
Cracks have appeared on the wall of the community building.,Building Department
Wires hanging dangerously near the electric pole.,Electric Department
"Building wall broken after storm, debris blocking entrance.",Building Department
New house construction encroaching on public property.,Building Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Electric wires snapped and lying on the road. please resolve this issue soon.,Electric Department
Damaged footpath blocking safe walking area. please resolve this issue soon.,Road Department
Water pipeline burst near main road causing wastage.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
There is a power outage in our area since morning.,Electric Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
the road near the hospital has large potholes.,Road Department
"Open manhole near park, dangerous for children.",Sewerage Department
Newly built road already showing cracks and uneven surface.,Road Department
pipeline leakage near valve leading to water loss.,Water Supply Department
potholes filled with water causing vehicle skidding.,Road Department
No water supply in the colony since morning.,Water Supply Department
water  supply  disrupted  due  to  pump  malfunction.,Water Supply Department
no water in tank even after scheduled supply time.,Water Supply Department
"plaster peeling from walls, building looks unsafe.",Building Department
The  drainage  is  overflowing  due  to  heavy  rain.,Sanitation Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Power supply interrupted due to damaged electric pole.,Electric Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
There is a power outage in our area since morning.,Electric Department
"drainage system clogged, water overflowing onto road.",Sanitation Department
Building under construction without safety barricades.,Building Department
"Road full of potholes, needs immediate repair.",Road Department
potholes filled with water causing vehicle skidding.,Road Department
"Drainage system clogged, water overflowing onto road. please resolve this issue soon.",Sanitation Department
potholes filled with water causing vehicle skidding.,Road Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
The  roof  of  the  building  is  leaking  during  rainfall.,Building Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
There is a power outage in our area since morning. please resolve this issue soon.,Electric Department
Low water pressure in our area since yesterday.,Water Supply Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Holes on road making it dangerous for vehicles.,Road Department
Cracks have appeared on the wall of the community building.,Building Department
Transformer burst causing short circuit and power failure.,Electric Department
Foul smell coming from underground sewerage system.,Sewerage Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"House foundation damaged, wall tilting slightly.",Building Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"garbage not collected regularly, causing bad smell.",Sanitation Department
Foul smell coming from underground sewerage system.,Sewerage Department
The ceiling in our apartment is about to collapse.,Building Department
Newly built road already showing cracks and uneven surface.,Road Department
"No electricity since last night, transformer seems burnt.",Electric Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
No water supply in the colony since morning.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Building under construction without safety barricades. please resolve this issue soon.,Building Department
Potholes filled with water causing vehicle skidding.,Road Department
"footpath broken near school, pedestrians facing difficulty.",Road Department
Tap water supply irregular since last week.,Water Supply Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Transformer burst causing short circuit and power failure.,Electric Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Street lights are not working in our colony.,Electric Department
sewer pipeline damaged causing leakages.,Sewerage Department
damaged footpath blocking safe walking area.,Road Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
